"房子名称","房子价格","房子单价","房子类型","房子地址","房子大小"
"渝北体育馆，锦域蓝湾精装三房，业主急售，户型方正大气，预约","130","10077元/㎡","3室2厅2卫","锦域蓝湾-两路二手房出售-兰馨大道10号","129㎡"
"个人一手房低价转让","55","6790元/㎡","2室1厅1卫","和悦家园-鱼嘴二手房出售","81㎡"
"周家坝3室一厅2卫只买35万啦，业主急卖","35","2916元/㎡","3室1厅2卫","蓝湖公寓-周家坝二手房出售","120㎡"
"蔡家轻轨站旁 水电气三通 Loft公寓 户型方正 采光好","43","10000元/㎡","2室1厅2卫","隆鑫爱琴海(...-蔡家岗二手房出售-同华路78号","43㎡"
"磁器口三菱大厦整层商服用房低价急售","780","9027元/㎡","9室5厅2卫","三陵大厦-磁器口二手房出售","864㎡"
"杨家坪商圈 豪装四室 带超大露台 家电齐全 拎包入住交通便捷","165","11619元/㎡","4室2厅2卫","君安楼-杨家坪二手房出售-直港大道15号","142㎡"
"九龙坡 西站旁 配套成熟 轻轨环绕 买即收租，高","40","12500元/㎡","1室1厅1卫","中航九悦荟-二郎二手房出售-火炬大道5号","32㎡"
"钓鱼嘴半岛 中洲半岛城邦 双轻轨 三大公园环绕 滨江路宜居地","140","10606元/㎡","4室2厅2卫","中洲半岛城邦-茄子溪二手房出售-大滨中路1166号","132㎡"
"陈家坪 奥体广场旁边 郡都彩舍 精装修小两房 随时看房","60","9677元/㎡","2室1厅1卫","郡都彩舍-石坪桥二手房出售-科园六路295号","62㎡"
"南岸茶园新区 别墅区大盘 高层开盘在即 正规三房","100","8928元/㎡","3室2厅2卫","麓铭府-界石二手房出售-东城大道","112㎡"
"南坪六公里 轻轨房 便宜两房 i昕晖 住家装修保持好","91","14918元/㎡","2室2厅1卫","i昕晖-学府大道二手房出售-学府大道54号","61㎡"
"重庆来福士广场,重庆地标,璀璨来袭,独享两江交汇","730","35096元/㎡","3室2厅3卫","重庆来福士广...-朝天门二手房出售-陕西路9号","208㎡"
"金科天宸花园洋房。带大露台，入户花园 低总价 你在等什么","195","14661元/㎡","3室2厅2卫","金科天宸-西永二手房出售-西盛路31号","133㎡"
"鸳鸯 汽博品质小区 业主急售 复地天玺 精装两房拎包入住","140","15555元/㎡","2室2厅1卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","90㎡"
"便宜卖了!！！居家不二选择，向阳街步梯家装大3房，带家具家电","32","2857元/㎡","3室2厅1卫","和平小区-沙坪坝周边二手房出售-向阳街259号","112㎡"
"康田紫悦府，清水3房2厅2卫带产权车位出售，看房方便。","125","13360元/㎡","3室2厅2卫","康田紫悦府-大学城二手房出售-思贤路46号","93㎡"
"渝北回兴  工业园区东车站旁  齐芳苑 精装正三室 拎包入住","83","6640元/㎡","3室2厅2卫","齐芳苑-回兴二手房出售-宝桐路188号","125㎡"
"双福福城中央 精装修二房 业主生二胎换大房子","56","8358元/㎡","2室2厅1卫","福城中央-双庆路1号","67㎡"
